row_id,heart_disease_mortality_per_100k
2,209
3,264
7,275
9,287
12,311
13,285
16,247
18,263
21,308
22,217
23,339
25,328
26,351
28,263
29,318
32,255
38,285
40,334
41,237
44,319
45,311
47,264
48,251
49,345
50,287
53,242
54,246
56,255
59,248
60,293
62,251
66,246
69,336
72,253
74,274
75,354
81,228
84,313
88,216
89,239
91,329
92,247
93,254
99,347
100,257
104,305
107,250
109,308
110,352
115,231
120,294
121,332
122,293
124,266
126,222
130,229
131,261
132,285
138,306
139,215
140,251
142,253
143,376
146,303
147,313
149,334
154,257
156,344
159,253
160,272
161,235
162,222
163,220
165,253
166,283
168,334
169,234
172,337
174,304
176,267
178,309
179,216
180,304
182,213
184,359
185,334
187,278
189,224
190,265
197,296
199,226
201,270
202,252
203,265
204,258
205,259
207,260
209,246
211,315
212,300
213,298
215,267
220,328
222,313
224,209
228,246
231,293
232,303
237,235
238,241
239,320
241,277
242,261
245,248
247,313
250,204
251,201
253,257
254,304
258,284
259,209
261,310
262,297
264,347
266,284
268,225
270,271
273,287
275,292
276,356
277,268
281,301
282,356
285,272
286,224
287,229
290,197
291,249
292,251
296,232
298,340
300,334
301,305
302,317
304,206
306,222
307,245
308,350
312,333
313,235
315,333
317,239
320,344
321,219
322,349
326,239
329,277
330,307
331,298
332,230
333,306
336,364
337,241
339,273
340,221
341,299
342,271
345,264
348,252
354,258
359,227
360,256
362,347
366,315
368,287
369,319
379,271
382,345
384,229
386,248
387,252
388,271
389,247
390,246
394,248
395,216
396,251
397,307
399,348
405,260
406,284
408,356
411,303
413,282
414,346
424,241
426,225
427,341
429,365
430,335
431,296
433,247
434,275
437,320
442,274
444,258
445,246
446,223
447,285
448,339
450,250
451,311
453,292
455,257
456,256
465,233
467,255
469,267
471,288
476,312
478,202
480,381
482,310
483,356
484,210
485,295
488,174
489,210
491,321
493,279
494,291
497,236
502,235
504,284
508,262
512,274
513,282
514,309
515,283
517,247
521,312
522,307
523,334
525,237
526,259
527,244
529,259
531,375
534,296
535,266
537,243
541,343
543,331
544,264
545,249
546,275
547,286
548,294
551,261
553,270
558,298
561,336
563,281
565,322
569,336
570,299
573,341
575,248
576,362
579,262
583,268
584,312
586,250
588,338
589,197
590,343
595,316
597,300
600,233
601,217
603,357
604,294
605,303
607,303
608,259
609,306
610,250
611,332
616,309
618,244
619,265
620,366
621,238
628,337
629,358
631,262
632,339
635,205
636,315
638,316
642,302
643,312
644,293
647,293
648,231
652,285
658,349
659,259
660,265
661,289
662,264
663,301
664,341
668,282
671,231
672,283
673,342
679,291
680,253
682,349
685,261
686,287
687,277
688,219
689,217
690,276
692,220
693,262
694,264
695,341
697,298
698,330
705,236
707,294
708,264
709,314
713,289
715,278
716,236
717,273
718,283
719,192
721,252
727,265
731,363
732,282
734,321
735,354
736,228
739,287
740,335
743,248
744,339
745,252
747,248
749,264
750,193
751,262
752,312
758,302
764,342
765,266
767,330
768,225
771,361
772,226
773,248
775,319
777,193
780,342
782,309
783,298
790,274
792,248
797,349
798,274
801,220
802,235
803,280
805,323
809,288
811,297
812,231
816,349
818,239
821,269
822,225
825,201
829,235
830,240
832,270
834,307
835,246
837,292
838,306
839,277
840,333
841,309
846,218
848,240
849,289
854,315
856,337
860,319
862,217
863,247
865,251
870,244
871,242
874,272
875,277
876,293
879,308
886,255
887,326
889,245
890,258
894,288
896,270
897,224
901,246
903,316
904,203
911,320
912,357
913,347
914,344
918,287
919,321
920,341
922,245
923,312
924,292
927,343
928,256
929,227
932,228
934,247
937,215
939,217
946,239
950,256
952,226
953,362
954,246
956,266
957,203
961,251
962,263
964,334
965,266
971,251
972,315
973,296
974,245
975,260
976,290
978,236
980,219
982,350
983,332
984,302
987,240
988,236
992,350
995,293
997,337
999,210
1000,290
1002,290
1004,236
1006,280
1007,327
1013,236
1014,351
1017,255
1018,339
1021,266
1022,284
1027,271
1028,218
1032,280
1033,291
1035,289
1036,283
1038,227
1042,248
1046,344
1048,354
1049,235
1051,247
1052,311
1053,206
1057,365
1060,296
1062,220
1064,251
1065,249
1066,224
1067,307
1069,247
1073,196
1074,212
1075,244
1080,257
1081,228
1084,265
1086,324
1088,332
1090,263
1091,355
1094,299
1096,267
1097,237
1100,297
1102,303
1103,369
1104,269
1108,302
1110,261
1111,307
1113,298
1117,252
1119,313
1120,267
1121,230
1122,332
1126,234
1131,289
1132,267
1133,275
1134,229
1135,234
1137,272
1142,244
1143,269
1146,209
1149,300
1151,251
1154,239
1160,273
1164,348
1167,234
1170,258
1171,298
1172,322
1173,313
1174,252
1176,248
1180,309
1182,193
1184,356
1185,256
1186,270
1187,316
1189,351
1190,231
1193,301
1196,283
1198,215
1201,270
1202,245
1206,215
1209,247
1211,251
1212,242
1215,361
1216,236
1218,311
1219,249
1225,310
1227,271
1231,370
1232,220
1233,285
1235,346
1236,358
1237,371
1238,241
1239,265
1242,201
1243,282
1246,313
1247,223
1252,316
1253,291
1254,234
1256,328
1259,273
1260,256
1261,295
1268,264
1269,338
1271,304
1272,250
1276,300
1277,272
1278,302
1279,299
1281,243
1282,307
1285,211
1287,252
1290,253
1291,359
1292,235
1295,234
1296,304
1301,252
1303,354
1304,264
1305,328
1306,247
1307,260
1311,190
1312,263
1313,250
1314,253
1315,260
1321,314
1323,297
1325,366
1328,215
1329,275
1330,260
1333,335
1334,254
1338,256
1339,239
1341,327
1343,226
1345,263
1349,243
1350,256
1352,262
1356,198
1363,271
1365,239
1367,343
1368,279
1370,328
1371,263
1372,214
1375,268
1376,313
1377,286
1378,309
1380,286
1381,268
1382,357
1384,276
1389,249
1392,262
1393,262
