row_id,heart_disease_mortality_per_100k
2,193
3,279
7,271
9,292
12,288
13,289
16,234
18,250
21,313
22,216
23,359
25,332
26,368
28,250
29,322
32,266
38,281
40,341
41,236
44,323
45,299
47,267
48,245
49,347
50,294
53,247
54,233
56,263
59,251
60,297
62,250
66,251
69,347
72,239
74,255
75,365
81,224
84,305
88,197
89,247
91,332
92,257
93,247
99,363
100,269
104,295
107,254
109,315
110,354
115,209
120,287
121,331
122,283
124,277
126,218
130,230
131,243
132,285
138,301
139,211
140,239
142,245
143,381
146,313
147,315
149,348
154,248
156,369
159,251
160,285
161,233
162,215
163,226
165,250
166,282
168,338
169,212
172,350
174,321
176,278
178,319
179,208
180,306
182,196
184,354
185,366
187,262
189,232
190,233
197,292
199,217
201,264
202,243
203,248
204,252
205,252
207,263
209,250
211,330
212,314
213,327
215,267
220,333
222,304
224,211
228,253
231,287
232,299
237,227
238,226
239,324
241,261
242,252
245,253
247,318
250,202
251,193
253,262
254,324
258,270
259,205
261,323
262,292
264,357
266,273
268,235
270,270
273,299
275,294
276,368
277,265
281,297
282,379
285,272
286,205
287,201
290,195
291,237
292,264
296,225
298,355
300,366
301,304
302,309
304,216
306,238
307,242
308,346
312,346
313,230
315,327
317,226
320,349
321,218
322,368
326,226
329,291
330,308
331,304
332,235
333,308
336,370
337,240
339,267
340,214
341,297
342,269
345,266
348,243
354,248
359,205
360,267
362,343
366,320
368,302
369,300
379,294
382,350
384,217
386,252
387,262
388,267
389,231
390,254
394,252
395,224
396,231
397,299
399,333
405,257
406,272
408,337
411,296
413,276
414,337
424,216
426,234
427,335
429,369
430,333
431,296
433,244
434,258
437,335
442,265
444,267
445,249
446,209
447,270
448,346
450,253
451,325
453,292
455,219
456,242
465,227
467,249
469,257
471,299
476,294
478,223
480,366
482,307
483,365
484,202
485,304
488,152
489,201
491,312
493,291
494,255
497,228
502,241
504,283
508,243
512,286
513,282
514,313
515,297
517,241
521,296
522,316
523,349
525,242
526,265
527,244
529,235
531,367
534,314
535,262
537,252
541,335
543,309
544,272
545,251
546,274
547,295
548,284
551,236
553,263
558,296
561,320
563,280
565,332
569,357
570,281
573,346
575,262
576,354
579,228
583,279
584,322
586,246
588,347
589,191
590,340
595,328
597,283
600,222
601,214
603,349
604,283
605,312
607,325
608,263
609,295
610,242
611,339
616,310
618,231
619,261
620,388
621,232
628,338
629,355
631,270
632,345
635,199
636,304
638,318
642,318
643,310
644,289
647,293
648,212
652,285
658,348
659,277
660,268
661,274
662,246
663,292
664,334
668,288
671,214
672,274
673,334
679,300
680,267
682,346
685,285
686,295
687,263
688,217
689,222
690,267
692,224
693,249
694,248
695,342
697,317
698,329
705,237
707,283
708,262
709,338
713,285
715,265
716,221
717,266
718,288
719,185
721,252
727,265
731,387
732,293
734,319
735,348
736,212
739,294
740,319
743,251
744,352
745,244
747,250
749,224
750,191
751,274
752,307
758,320
764,355
765,280
767,335
768,225
771,372
772,219
773,256
775,314
777,190
780,354
782,329
783,285
790,273
792,248
797,342
798,287
801,213
802,236
803,268
805,310
809,292
811,283
812,216
816,381
818,244
821,256
822,224
825,204
829,232
830,222
832,250
834,305
835,239
837,283
838,298
839,278
840,336
841,315
846,209
848,215
849,278
854,311
856,368
860,334
862,222
863,264
865,255
870,245
871,238
874,276
875,282
876,311
879,301
886,256
887,328
889,242
890,251
894,284
896,262
897,223
901,240
903,298
904,192
911,342
912,349
913,344
914,350
918,310
919,330
920,342
922,223
923,299
924,288
927,335
928,254
929,229
932,238
934,247
937,198
939,213
946,227
950,261
952,223
953,384
954,248
956,273
957,219
961,238
962,269
964,340
965,259
971,259
972,329
973,298
974,224
975,259
976,305
978,230
980,223
982,333
983,355
984,319
987,241
988,241
992,349
995,303
997,332
999,207
1000,296
1002,283
1004,214
1006,291
1007,329
1013,244
1014,340
1017,252
1018,329
1021,261
1022,277
1027,285
1028,201
1032,261
1033,293
1035,281
1036,278
1038,223
1042,259
1046,339
1048,358
1049,234
1051,241
1052,274
1053,207
1057,367
1060,287
1062,215
1064,237
1065,255
1066,222
1067,308
1069,231
1073,202
1074,204
1075,258
1080,265
1081,210
1084,262
1086,345
1088,337
1090,248
1091,411
1094,298
1096,275
1097,222
1100,305
1102,304
1103,368
1104,292
1108,297
1110,268
1111,314
1113,294
1117,257
1119,329
1120,272
1121,212
1122,335
1126,189
1131,287
1132,272
1133,271
1134,227
1135,220
1137,274
1142,220
1143,270
1146,210
1149,297
1151,256
1154,232
1160,274
1164,347
1167,217
1170,263
1171,299
1172,326
1173,306
1174,238
1176,223
1180,322
1182,189
1184,363
1185,264
1186,305
1187,318
1189,341
1190,230
1193,293
1196,276
1198,211
1201,260
1202,244
1206,222
1209,246
1211,237
1212,241
1215,368
1216,237
1218,307
1219,252
1225,313
1227,284
1231,350
1232,210
1233,279
1235,342
1236,367
1237,399
1238,225
1239,252
1242,203
1243,278
1246,306
1247,204
1252,325
1253,289
1254,230
1256,315
1259,270
1260,251
1261,291
1268,275
1269,327
1271,305
1272,260
1276,311
1277,289
1278,300
1279,297
1281,240
1282,319
1285,209
1287,261
1290,260
1291,378
1292,231
1295,225
1296,308
1301,253
1303,332
1304,252
1305,352
1306,253
1307,258
1311,198
1312,270
1313,248
1314,258
1315,255
1321,312
1323,285
1325,405
1328,214
1329,274
1330,257
1333,330
1334,256
1338,253
1339,252
1341,322
1343,230
1345,262
1349,232
1350,261
1352,260
1356,198
1363,245
1365,190
1367,324
1368,277
1370,339
1371,266
1372,194
1375,262
1376,300
1377,280
1378,309
1380,272
1381,269
1382,337
1384,270
1389,258
1392,257
1393,255
1397,273
1398,247
1399,373
1400,326
1401,381
1402,336
1404,378
1406,172
1409,308
1411,270
1412,240
1415,249
1416,345
1418,232
1419,264
1423,230
1433,374
1434,222
1435,237
1439,326
1441,207
1442,280
1445,180
1446,241
1447,223
1451,274
1453,334
1458,277
1462,261
1464,273
1468,244
1470,258
1471,272
1473,225
1476,309
1477,316
1479,381
1480,277
1481,287
1482,220
1486,229
1489,273
1490,351
1491,241
1493,305
1496,338
1497,213
1498,377
1499,304
1502,239
1503,379
1506,274
1507,265
1508,230
1510,332
1513,299
1514,317
1515,229
1518,312
1522,412
1526,234
1528,202
1529,270
1530,222
1531,336
1534,198
1535,380
1537,278
1538,294
1539,309
1540,266
1543,211
1548,245
1549,292
1551,235
1557,198
1561,284
1562,302
1564,217
1566,284
1567,224
1570,263
1573,199
1575,255
1576,281
1577,251
1578,252
1579,360
1583,307
1588,270
1592,255
1599,233
1602,243
1603,311
1604,318
1605,205
1606,236
1607,308
1609,357
1612,275
1614,282
1615,276
1616,196
1617,280
1618,213
1619,364
1621,247
1622,363
1623,284
1624,224
1626,274
1627,304
1628,275
1633,255
1634,341
1635,282
1636,263
1637,206
1644,247
1645,221
1647,201
1650,225
1651,282
1652,276
1653,259
1654,337
1656,246
1657,182
1659,242
1661,304
1662,274
1663,356
1664,250
1665,242
1668,246
1669,352
1670,319
1671,273
1672,224
1673,229
1674,323
1675,317
1679,380
1680,262
1681,358
1683,380
1688,189
1692,236
1693,212
1697,318
1698,314
1699,264
1701,276
1702,292
1703,328
1704,309
1706,291
1707,346
1709,266
1710,178
1713,357
1714,310
1716,254
1717,330
1718,226
1719,279
1721,232
1722,228
1723,236
1725,366
1726,150
1727,261
1728,352
1733,218
1734,330
1735,238
1736,275
1739,232
1743,300
1744,298
1745,209
1749,309
1750,210
1754,210
1755,261
1757,215
1758,306
1759,325
1761,255
1762,238
1764,240
1765,372
1766,227
1767,320
1769,329
1770,273
1775,227
1782,340
1784,238
1786,268
1792,236
1793,224
1794,356
1795,232
1797,291
1798,240
1806,229
1810,285
1811,291
1812,297
1814,301
1815,336
1817,303
1818,249
1819,238
1820,270
1823,326
1825,354
1830,371
1833,208
1834,303
