row_id,heart_disease_mortality_per_100k
2,224
3,285
7,297
9,290
12,339
13,329
16,267
18,236
21,316
22,250
23,372
25,355
26,327
28,244
29,344
32,246
38,289
40,328
41,241
44,333
45,334
47,261
48,264
49,390
50,286
53,229
54,233
56,253
59,261
60,306
62,245
66,252
69,338
72,251
74,324
75,340
81,229
84,317
88,229
89,210
91,317
92,244
93,264
99,371
100,259
104,317
107,226
109,322
110,362
115,242
120,311
121,309
122,316
124,278
126,241
130,233
131,252
132,285
138,299
139,222
140,252
142,240
143,396
146,298
147,319
149,320
154,248
156,317
159,247
160,274
161,230
162,221
163,215
165,248
166,305
168,348
169,220
172,322
174,286
176,268
178,279
179,233
180,330
182,224
184,358
185,322
187,290
189,282
190,240
197,298
199,198
201,283
202,234
203,264
204,260
205,276
207,273
209,263
211,320
212,318
213,320
215,255
220,329
222,334
224,216
228,252
231,298
232,304
237,217
238,258
239,310
241,270
242,264
245,252
247,310
250,208
251,208
253,229
254,295
258,275
259,229
261,340
262,326
264,333
266,259
268,218
270,271
273,345
275,325
276,353
277,234
281,273
282,319
285,277
286,230
287,233
290,197
291,252
292,264
296,260
298,335
300,351
301,272
302,341
304,185
306,230
307,205
308,353
312,350
313,215
315,339
317,244
320,332
321,196
322,355
326,247
329,270
330,315
331,302
332,225
333,284
336,342
337,227
339,281
340,228
341,278
342,264
345,275
348,277
354,280
359,223
360,254
362,357
366,333
368,269
369,352
379,263
382,315
384,237
386,262
387,239
388,278
389,256
390,247
394,220
395,217
396,300
397,310
399,336
405,253
406,311
408,369
411,337
413,263
414,355
424,272
426,215
427,333
429,390
430,324
431,304
433,235
434,261
437,305
442,267
444,254
445,234
446,236
447,241
448,318
450,252
451,285
453,256
455,221
456,262
465,239
467,246
469,246
471,287
476,292
478,213
480,377
482,326
483,387
484,206
485,329
488,161
489,203
491,325
493,285
494,267
497,227
502,218
504,338
508,306
512,274
513,278
514,347
515,282
517,265
521,306
522,271
523,309
525,267
526,257
527,227
529,231
531,371
534,247
535,260
537,235
541,356
543,311
544,270
545,245
546,263
547,281
548,302
551,256
553,268
558,288
561,406
563,297
565,325
569,311
570,295
573,359
575,253
576,369
579,250
583,256
584,355
586,251
588,316
589,208
590,338
595,339
597,302
600,245
601,215
603,362
604,311
605,330
607,347
608,251
609,264
610,266
611,354
616,336
618,252
619,248
620,327
621,218
628,305
629,309
631,250
632,338
635,212
636,335
638,298
642,314
643,316
644,332
647,279
648,224
652,271
658,325
659,251
660,217
661,328
662,272
663,339
664,318
668,269
671,173
672,264
673,323
679,285
680,259
682,326
685,264
686,257
687,265
688,209
689,213
690,305
692,261
693,242
694,275
695,332
697,341
698,341
705,235
707,316
708,275
709,335
713,320
715,283
716,258
717,300
718,290
719,203
721,256
727,243
731,348
732,240
734,316
735,401
736,249
739,275
740,330
743,243
744,336
745,233
747,241
749,241
750,180
751,248
752,276
758,326
764,315
765,270
