row_id,heart_disease_mortality_per_100k
2,200
3,278
7,292
9,287
12,277
13,298
16,237
18,256
21,314
22,235
23,361
25,328
26,351
28,233
29,312
32,241
38,300
40,354
41,245
44,330
45,299
47,254
48,249
49,352
50,314
53,227
54,239
56,255
59,234
60,312
62,260
66,238
69,351
72,241
74,249
75,373
81,233
84,304
88,206
89,280
91,328
92,263
93,252
99,373
100,257
104,293
107,250
109,305
110,362
115,227
120,306
121,330
122,277
124,267
126,239
130,226
131,242
132,272
138,280
139,215
140,225
142,238
143,353
146,311
147,331
149,342
154,234
156,372
159,261
160,307
161,240
162,235
163,210
165,242
166,283
168,330
169,216
172,330
174,339
176,273
178,327
179,223
180,307
182,220
184,354
185,362
187,246
189,261
190,241
197,268
199,219
201,288
202,244
203,270
204,255
205,257
207,248
209,248
211,332
212,289
213,303
215,267
220,332
222,291
224,221
228,241
231,284
232,287
237,233
238,224
239,330
241,254
242,250
245,244
247,326
250,202
251,195
253,227
254,328
258,268
259,204
261,323
262,304
264,350
266,273
268,240
270,281
273,284
275,310
276,372
277,297
281,306
282,394
285,267
286,208
287,227
290,201
291,215
292,245
296,230
298,351
300,376
301,294
302,310
304,228
306,209
307,241
308,371
312,350
313,225
315,326
317,232
320,354
321,230
322,358
326,238
329,275
330,299
331,315
332,199
333,300
336,363
337,236
339,275
340,215
341,329
342,271
345,271
348,246
354,244
359,227
360,249
362,337
366,323
368,287
369,299
379,296
382,347
384,239
386,240
387,269
388,251
389,226
390,233
394,255
395,213
396,231
397,296
399,338
405,268
406,286
408,343
411,280
413,287
414,351
424,226
426,226
427,340
429,373
430,329
431,300
433,249
434,258
437,316
442,284
444,251
445,253
446,206
447,279
448,341
450,257
451,309
453,332
455,229
456,252
465,252
467,248
469,244
471,279
476,290
478,199
480,365
482,325
483,363
484,219
485,283
488,168
489,212
491,309
493,276
494,282
497,241
502,245
504,246
508,256
512,251
513,287
514,323
515,278
517,230
521,293
522,308
523,353
525,238
526,263
527,232
529,238
531,365
534,322
535,261
537,238
541,345
543,318
544,283
545,242
546,240
547,292
548,289
551,251
553,258
558,318
561,315
563,260
565,334
569,353
570,292
573,317
575,269
576,388
579,238
583,262
584,328
586,247
588,342
589,205
590,345
595,327
597,304
600,247
601,202
603,346
604,285
605,320
607,306
608,255
609,292
610,232
611,358
616,308
618,241
619,263
620,375
621,242
628,341
629,373
631,281
632,356
635,219
636,305
638,328
642,321
643,322
644,253
647,294
648,228
652,286
658,357
659,276
660,277
661,270
662,252
663,300
664,315
668,274
671,224
672,259
673,334
679,322
680,240
682,359
685,280
686,303
687,264
688,208
689,231
690,266
692,236
693,246
694,254
695,345
697,292
698,326
705,237
707,278
708,250
709,338
713,287
715,259
716,210
717,273
718,271
719,192
721,244
727,269
731,377
732,289
734,325
735,351
736,221
739,320
740,332
743,245
744,358
745,264
747,240
749,230
750,203
751,286
752,297
758,340
764,351
765,268
767,335
768,209
771,380
772,237
773,236
775,327
777,197
780,354
782,311
783,293
790,272
792,258
797,338
798,287
801,220
802,241
803,271
805,317
809,256
811,304
812,207
816,358
818,251
821,257
822,268
825,211
829,236
830,262
832,249
834,302
835,234
837,302
838,279
839,292
840,323
841,331
846,211
848,237
849,279
854,320
856,349
860,332
862,220
863,244
865,241
870,230
871,243
874,294
875,282
876,328
879,302
886,249
887,326
889,245
890,270
894,288
896,260
897,238
901,231
903,291
904,202
911,326
912,341
913,354
914,357
918,292
919,336
920,333
922,224
923,296
924,253
927,336
928,259
929,230
932,200
934,261
937,208
939,242
946,226
950,252
952,218
953,378
954,249
956,274
957,218
961,224
962,261
964,334
965,240
971,251
972,322
973,295
974,226
975,237
976,269
978,234
980,229
982,338
983,347
984,315
987,255
988,239
992,328
995,293
997,336
999,225
1000,292
1002,268
1004,215
1006,271
1007,316
1013,262
1014,336
1017,257
1018,326
1021,264
1022,279
1027,269
1028,234
1032,249
1033,318
1035,313
1036,271
1038,229
1042,262
1046,344
1048,365
1049,252
1051,259
1052,261
1053,210
1057,351
1060,268
1062,237
1064,232
1065,282
1066,239
1067,317
1069,239
1073,195
1074,220
1075,261
1080,284
1081,226
1084,270
1086,330
1088,327
1090,247
1091,394
1094,311
1096,266
1097,229
1100,280
1102,307
1103,372
1104,285
1108,287
1110,250
1111,296
1113,297
1117,247
1119,336
1120,262
1121,215
1122,328
1126,191
1131,276
1132,242
1133,276
1134,223
1135,235
1137,258
1142,202
1143,248
1146,228
1149,288
1151,278
1154,223
1160,273
1164,341
1167,210
1170,273
1171,302
1172,326
1173,301
1174,241
1176,224
1180,331
1182,192
1184,373
1185,247
1186,266
1187,318
1189,345
1190,231
1193,301
1196,257
1198,227
1201,270
1202,246
1206,203
1209,230
1211,220
1212,251
1215,375
1216,245
1218,308
1219,234
1225,311
1227,266
1231,360
1232,226
1233,272
1235,358
1236,365
1237,384
1238,234
1239,235
1242,208
1243,284
1246,285
1247,221
1252,312
1253,311
1254,224
1256,326
1259,268
1260,252
1261,295
1268,253
1269,323
1271,312
1272,250
1276,310
1277,283
1278,272
1279,319
1281,236
1282,318
1285,209
1287,250
1290,277
1291,370
1292,231
1295,238
1296,322
1301,249
1303,334
1304,255
1305,336
1306,272
1307,229
1311,202
1312,267
1313,242
1314,256
1315,271
1321,318
1323,288
1325,385
1328,220
1329,239
1330,239
1333,340
1334,246
1338,269
1339,243
1341,323
1343,219
1345,261
1349,240
1350,271
1352,263
1356,202
1363,258
1365,221
1367,338
1368,272
1370,355
1371,254
1372,217
1375,284
1376,302
1377,269
1378,316
1380,308
1381,260
1382,335
1384,265
1389,274
1392,262
1393,269
1397,253
1398,230
1399,386
1400,314
1401,397
1402,331
1404,368
1406,198
1409,298
1411,270
1412,230
1415,257
1416,333
1418,234
1419,267
1423,228
1433,372
1434,219
1435,240
1439,345
1441,211
1442,286
1445,162
1446,256
1447,239
1451,301
1453,347
1458,286
1462,249
1464,265
1468,216
1470,283
1471,273
1473,248
1476,303
1477,318
1479,362
1480,261
1481,284
1482,187
1486,218
1489,251
1490,363
1491,246
1493,308
1496,340
1497,220
1498,374
1499,275
1502,242
1503,367
1506,280
1507,251
1508,211
1510,347
1513,289
1514,315
1515,238
1518,319
1522,347
1526,246
1528,204
1529,264
1530,220
1531,339
1534,206
1535,362
1537,253
1538,283
1539,303
1540,269
1543,184
1548,246
1549,302
1551,260
1557,200
1561,292
1562,309
1564,231
1566,286
1567,241
1570,265
1573,211
1575,257
1576,267
1577,240
1578,269
1579,367
1583,321
1588,266
1592,237
1599,220
1602,242
1603,309
1604,332
1605,223
1606,239
1607,291
1609,337
1612,281
1614,303
1615,263
1616,203
1617,279
1618,225
1619,381
1621,242
1622,356
1623,295
1624,238
1626,261
1627,283
1628,265
1633,266
1634,344
1635,271
1636,260
1637,211
1644,271
1645,231
1647,205
1650,213
1651,268
1652,268
1653,264
1654,355
1656,244
1657,184
1659,246
1661,304
1662,249
1663,370
1664,243
1665,231
1668,251
1669,350
1670,288
1671,258
1672,224
1673,223
1674,329
