row_id,heart_disease_mortality_per_100k
2,194
3,277
7,274
9,275
12,301
13,300
16,242
18,269
21,291
22,206
23,354
25,328
26,359
28,240
29,310
32,251
38,311
40,348
41,238
44,336
45,324
47,267
48,260
49,322
50,274
53,241
54,221
56,256
59,259
60,295
62,248
66,226
69,365
72,220
74,249
75,376
81,229
84,319
88,192
89,227
91,353
92,267
93,245
99,361
100,258
104,301
107,289
109,305
110,372
115,206
120,300
121,339
122,292
124,278
126,229
130,245
131,228
132,288
138,303
139,217
140,238
142,259
143,352
146,324
147,362
149,329
154,252
156,322
159,237
160,303
161,230
162,215
163,219
165,252
166,256
168,330
169,227
172,336
174,308
176,276
178,331
179,213
180,327
182,189
184,346
185,315
187,254
189,257
190,227
197,276
199,219
201,261
202,251
203,270
204,255
205,260
207,259
209,253
211,300
212,306
213,304
215,271
220,312
222,312
224,217
228,249
231,303
232,300
237,242
238,227
239,334
241,275
242,267
245,242
247,301
250,214
251,181
253,247
254,287
258,288
259,208
261,339
262,309
264,366
266,293
268,233
270,296
273,291
275,257
276,369
277,245
281,262
282,359
285,273
286,214
287,200
290,188
291,226
292,257
296,226
298,359
300,363
301,327
302,305
304,192
306,235
307,253
308,368
312,364
313,233
315,353
317,230
320,369
321,228
322,357
326,230
329,273
330,310
331,307
332,259
333,299
336,355
337,245
339,263
340,211
341,276
342,280
345,267
348,252
354,263
359,206
360,270
362,328
366,365
368,301
369,324
379,298
382,359
384,212
386,256
387,250
388,255
389,251
390,228
394,257
395,224
396,259
397,309
399,346
405,259
406,283
408,353
411,307
413,323
414,339
424,212
426,262
427,347
429,380
430,356
431,336
433,254
434,266
437,338
442,271
444,246
445,257
446,219
447,274
448,356
450,265
451,310
453,283
455,212
456,241
465,222
467,242
469,247
471,294
476,304
478,194
480,373
482,327
483,351
484,223
485,325
488,174
489,184
491,302
493,276
494,265
497,237
502,243
504,260
508,255
512,268
513,293
514,321
515,302
517,239
521,309
522,328
523,328
525,239
526,250
527,240
529,245
531,357
534,298
535,275
537,248
541,316
543,330
544,268
545,253
546,301
547,302
548,279
551,233
553,276
558,312
561,336
563,273
565,324
569,335
570,290
573,380
575,212
576,374
579,207
583,259
584,329
586,251
588,340
589,185
590,331
595,322
597,294
600,221
601,206
603,371
604,274
605,294
607,304
608,265
609,297
610,243
611,336
616,342
618,247
619,265
620,344
621,270
